id,name,type,medium,sex,ybirth,work,study,genre,oeffentlichprivat,year
klheu,Klaas Heufer Umlauf,1,99,2,4,1,3,99,99,99
jalun,Jakob Lundt,1,99,2,3,9,2,99,99,99
thschm,Thomas Schmitt,1,99,2,5,9,2,99,99,99
stbum,Studio Bummens,2,99,99,99,99,99,99,99,99
flmbh,Florida Entertainment GmbH,2,99,99,99,99,99,99,99,99
story,Starwatch Podcast Factory,2,99,99,99,99,99,99,99,99
balin,Baywatch Berlin,2,6,99,99,99,99,1,99,5
lalin,Late Night Berlin,2,6,99,99,99,99,1,99,99
duelt,Duell um die Welt,2,6,99,99,99,99,1,99,99
cilli,Circus Halligalli,2,6,99,99,99,99,1,99,99
vimbh,Viva Media GmbH,2,6,99,99,99,99,99,99,99
neise,NeoParadise,2,6,99,99,99,99,1,99,99
mtome,MTV Home,2,6,99,99,99,99,99,99,99
prben,Pro Sieben,2,6,99,99,99,99,99,2,99
zdneo,ZDF Neo,2,6,99,99,99,99,1,99,99
dielt,Die beste Show der Welt,2,6,99,99,99,99,1,99,99
joben,Joko u Klaas gegen ProSieben,2,6,99,99,99,99,1,99,99
neale,Neo Magazine Royale,2,6,99,99,99,99,1,99,99
babie,Bastian Bielendorfer,1,99,2,4,4,3,99,99,99
oesar,Özcan Cosar,1,99,2,4,5,3,99,99,99
liava,1Live Bratwurst und Baklava,2,1,99,99,99,99,1,99,5
elive,EinsLive,2,6,99,99,99,99,99,1,99
hahow,Harald Schmid Show,2,6,99,99,99,99,1,99,99
sky,Sky,2,6,99,99,99,99,99,2,99
diehn,Die tierischen Zehn,2,6,99,99,99,99,99,99,99
vox,Vox,2,6,99,99,99,99,99,2,99
wiiso,Wissenmagazin Wiso,2,6,99,99,99,99,99,99,99
eicks,EinsLive Hacks,2,6,99,99,99,99,99,99,99
alsch,Alliteration am Arsch,2,1,99,99,99,99,1,99,4
alnen,Alle gegen Einen,2,6,99,99,99,99,99,99,99
biwdr,Bielendorfer im WDR,2,6,99,99,99,99,99,99,99
wdr,WDR,2,6,99,99,99,99,99,1,99
lence,Lets dance,2,6,99,99,99,99,99,99,99
